molecule_cheml_id,bioactivity_class,pIC50
CHEMBL2111947,inactive,4.301029995663981
CHEMBL431859,active,6.623423042943488
CHEMBL113637,active,7.244125144327507
CHEMBL112021,active,7.267606240177032
CHEMBL41761,active,7.387216143280264
CHEMBL111868,active,7.105130343254747
CHEMBL111888,active,7.285670240254767
CHEMBL112074,active,6.688246138944246
CHEMBL324326,active,7.301029995663981
CHEMBL353068,inactive,4.292429823902063
CHEMBL166709,inactive,3.6020599913279625
CHEMBL424556,inactive,3.987162775294828
CHEMBL1630261,active,7.301029995663981
CHEMBL169251,active,6.769551078621726
CHEMBL1629805,active,7.309803919971486
CHEMBL433728,inactive,3.6020599913279625
CHEMBL38877,inactive,4.508638306165727
CHEMBL169449,inactive,3.6020599913279625
CHEMBL39275,inactive,4.3979400086720375
CHEMBL39513,inactive,4.6777807052660805
CHEMBL2112738,inactive,4.958607314841775
CHEMBL289116,inactive,5.0
CHEMBL289116,inactive,4.346787486224656
CHEMBL39782,inactive,4.522878745280337
CHEMBL304903,active,6.431798275933005
CHEMBL488,inactive,4.853871964321762
CHEMBL168434,active,6.585026652029182
CHEMBL352645,active,6.221848749616356
CHEMBL2112739,active,6.0
CHEMBL440930,inactive,4.886056647693163
CHEMBL1630274,active,7.508638306165727
CHEMBL1629804,active,7.221848749616356
CHEMBL39661,active,6.096910013008056
CHEMBL166789,inactive,3.6020599913279625
CHEMBL3349856,active,6.0655015487564325
CHEMBL1630275,inactive,3.823908740944319
CHEMBL1630267,active,6.026872146400302
CHEMBL38510,inactive,3.6108339156354674
CHEMBL415753,inactive,4.7447274948966935
CHEMBL3349864,active,6.552841968657781
CHEMBL1629806,active,6.721246399047171
CHEMBL169664,inactive,3.6020599913279625
CHEMBL168762,inactive,3.6020599913279625
CHEMBL39781,inactive,3.4145392704914994
CHEMBL413344,inactive,4.42021640338319
CHEMBL168444,inactive,4.568636235841013
CHEMBL168700,inactive,3.6020599913279625
CHEMBL355681,inactive,3.6020599913279625
CHEMBL2111917,active,6.154901959985743
CHEMBL39840,inactive,5.0
CHEMBL424203,inactive,3.6020599913279625
CHEMBL28689,inactive,3.6020599913279625
CHEMBL166974,inactive,3.6020599913279625
CHEMBL2311169,active,6.180456064458132
CHEMBL38472,active,6.481486060122113
CHEMBL38472,active,6.221848749616356
CHEMBL276140,inactive,4.0
CHEMBL297784,inactive,4.0
CHEMBL14563,inactive,4.0
CHEMBL274318,inactive,4.54515513999149
CHEMBL113739,active,6.726998727936262
CHEMBL113121,active,6.7544873321858505
CHEMBL10137,active,6.2076083105017466
CHEMBL113082,active,7.508638306165727
CHEMBL10026,active,6.096910013008056
CHEMBL2105261,active,7.250263684430939
CHEMBL109211,active,6.560667306169737
CHEMBL27879,active,6.647817481888637
CHEMBL27386,active,6.0
CHEMBL488,inactive,4.886056647693163
CHEMBL281947,active,8.301029995663981
CHEMBL281947,active,6.638272163982407
CHEMBL27546,active,7.013228265733755
CHEMBL286506,active,7.207608310501746
CHEMBL281947,active,6.823908740944319
CHEMBL281947,active,7.920818753952375
CHEMBL281947,active,6.107905397309519
CHEMBL26651,active,7.638272163982407
CHEMBL27591,active,7.508638306165727
CHEMBL28173,active,7.309803919971486
